中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
144.21.63.99,443,2a0b:21c0:100a:1b4:0:787b:d4c4:9fec,DE,Frankfurt,隧道,99 ms,100 Mbps,12902 kB/s,12902.0
144.21.57.17,443,2a0b:21c0:100a:1b4:0:1ac4:fb5e:27c4,DE,Chicago,隧道,93 ms,100 Mbps,12800 kB/s,12800.0
141.148.244.243,443,2606:f240:f00:6acf:0:8da2:a87f:2ecc,US,Newark,隧道,182 ms,97 Mbps,12492 kB/s,12492.0
144.24.243.207,443,144.24.243.207,CH,,中转,99 ms,95 Mbps,12185 kB/s,12185.0
152.67.212.141,443,152.67.212.141,KR,Seoul,中转,185 ms,88 Mbps,11366 kB/s,11366.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,170 ms,88 Mbps,11366 kB/s,11366.0
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,36 ms,87 Mbps,11161 kB/s,11161.0
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,184 ms,87 Mbps,11161 kB/s,11161.0
103.137.63.2,443,61.224.127.91,TW,,隧道,187 ms,87 Mbps,11161 kB/s,11161.0
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,184 ms,84 Mbps,10752 kB/s,10752.0
144.24.74.51,443,144.24.74.51,KR,Seoul,中转,184 ms,84 Mbps,10752 kB/s,10752.0
8.213.137.24,443,8.213.137.24,SG,,中转,182 ms,79 Mbps,10137 kB/s,10137.0
146.56.161.229,443,146.56.161.229,KR,Seoul,中转,184 ms,77 Mbps,9857 kB/s,9857.0
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,187 ms,76 Mbps,9834 kB/s,9834.0
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,72 ms,75 Mbps,9718 kB/s,9718.0
43.204.146.16,443,43.204.146.16,IN,,中转,202 ms,75 Mbps,9624 kB/s,9624.0
103.137.63.3,443,122.118.167.190,TW,,隧道,192 ms,75 Mbps,9617 kB/s,9617.0
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,205 ms,73 Mbps,9452 kB/s,9452.0
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,188 ms,73 Mbps,9400 kB/s,9400.0
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,225 ms,73 Mbps,9390 kB/s,9390.0
144.24.83.39,443,144.24.83.39,KR,Seoul,中转,189 ms,72 Mbps,9296 kB/s,9296.0
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,205 ms,72 Mbps,9241 kB/s,9241.0
138.2.69.100,443,2603:c024:4507:3b0f:9fca:905d:c918:efa2,SG,Singapore,隧道,222 ms,65 Mbps,8416 kB/s,8416.0
131.186.32.87,443,2602:ffe4:407:20da:0:ea93:9e12:334a,SG,Singapore,隧道,334 ms,63 Mbps,8097 kB/s,8097.0
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,302 ms,62 Mbps,7958 kB/s,7958.0
64.110.81.221,443,2602:ffe4:407:20d9:0:3977:16c:50d7,SG,Singapore,隧道,235 ms,60 Mbps,7806 kB/s,7806.0
168.138.66.11,443,168.138.66.11,CA,Montréal,中转,24 ms,60 Mbps,7789 kB/s,7789.0
130.162.133.250,443,2602:ffe4:407:20d9:0:2277:10ce:6e2f,SG,Singapore,隧道,236 ms,60 Mbps,7744 kB/s,7744.0
193.123.81.105,443,193.123.81.105,AE,Paris,中转,189 ms,60 Mbps,7734 kB/s,7734.0
146.56.152.52,443,128.14.104.155,US,Singapore,隧道,253 ms,60 Mbps,7681 kB/s,7681.0
124.156.202.172,443,124.156.202.172,SG,,中转,228 ms,57 Mbps,7393 kB/s,7393.0
158.101.65.113,443,2602:ffe4:407:20d9:0:a988:a3f0:6d9,SG,Singapore,隧道,234 ms,57 Mbps,7339 kB/s,7339.0
152.69.225.156,443,2602:ffe4:407:20d9:0:5b7:c55b:c8da,SG,Singapore,隧道,244 ms,56 Mbps,7271 kB/s,7271.0
198.46.193.167,443,198.46.193.167,US,Dallas,中转,42 ms,56 Mbps,7222 kB/s,7222.0
193.122.115.218,443,2602:ffe4:407:20d9:0:50c4:b5f4:a4af,SG,Singapore,隧道,239 ms,54 Mbps,7031 kB/s,7031.0
64.110.83.47,443,128.14.104.155,US,Singapore,隧道,250 ms,54 Mbps,6962 kB/s,6962.0
132.226.231.130,443,2602:ffe4:407:20d9:0:9b6f:ab78:6b8,SG,Singapore,隧道,244 ms,54 Mbps,6925 kB/s,6925.0
130.162.140.40,443,2602:ffe4:407:21d9:0:15b9:3946:4c5,SG,Singapore,隧道,252 ms,53 Mbps,6787 kB/s,6787.0
146.56.103.134,443,128.14.110.204,US,Singapore,隧道,245 ms,52 Mbps,6774 kB/s,6774.0
144.24.80.97,443,2602:ffe4:407:21d9:0:5f7b:d3f2:960c,SG,Singapore,隧道,248 ms,52 Mbps,6675 kB/s,6675.0
146.56.116.174,443,2602:ffe4:407:20da:0:be74:f22d:4b5,SG,Singapore,隧道,247 ms,51 Mbps,6644 kB/s,6644.0
146.56.134.252,443,128.14.110.206,US,Singapore,隧道,246 ms,50 Mbps,6509 kB/s,6509.0
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,86 ms,50 Mbps,6406 kB/s,6406.0
150.230.47.3,443,150.230.47.3,US,San Jose,中转,69 ms,48 Mbps,6218 kB/s,6218.0
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,73 ms,48 Mbps,6194 kB/s,6194.0
152.67.212.12,443,2602:ffe4:407:21d9:0:5798:b407:41ed,SG,Singapore,隧道,339 ms,47 Mbps,6043 kB/s,6043.0
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,61 ms,47 Mbps,6029 kB/s,6029.0
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,69 ms,46 Mbps,6012 kB/s,6012.0
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,186 ms,45 Mbps,5812 kB/s,5812.0
158.180.231.216,443,2603:c027:1:5610:e035:d6ae:8635:ee8d,IT,,隧道,103 ms,45 Mbps,5791 kB/s,5791.0
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,99 ms,44 Mbps,5746 kB/s,5746.0
152.70.112.158,443,152.70.112.158,US,San Jose,中转,69 ms,44 Mbps,5633 kB/s,5633.0
152.67.65.201,443,152.67.65.201,CH,Zurich,中转,104 ms,43 Mbps,5607 kB/s,5607.0
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,84 ms,43 Mbps,5537 kB/s,5537.0
152.67.44.30,443,152.67.44.30,BR,São Paulo,中转,117 ms,42 Mbps,5394 kB/s,5394.0
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,348 ms,42 Mbps,5377 kB/s,5377.0
193.123.69.77,443,193.123.69.77,AE,,中转,190 ms,41 Mbps,5338 kB/s,5338.0
132.226.31.178,443,2a09:bac5:60ee:1846::26b:22,US,Los Angeles,隧道,65 ms,39 Mbps,5069 kB/s,5069.0
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,212 ms,39 Mbps,5060 kB/s,5060.0
146.56.46.84,443,146.56.46.84,KR,Seoul,中转,182 ms,39 Mbps,5023 kB/s,5023.0
129.159.130.38,443,129.159.130.38,IL,Paris,中转,142 ms,39 Mbps,5015 kB/s,5015.0
158.101.175.51,443,158.101.175.51,DE,Frankfurt,中转,90 ms,37 Mbps,4829 kB/s,4829.0
152.67.222.167,443,152.67.222.167,KR,Seoul,中转,189 ms,36 Mbps,4721 kB/s,4721.0
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,187 ms,36 Mbps,4674 kB/s,4674.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,207 ms,36 Mbps,4627 kB/s,4627.0
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,97 ms,35 Mbps,4606 kB/s,4606.0
64.110.98.49,443,104.28.206.113,JP,Osaka,隧道,218 ms,35 Mbps,4562 kB/s,4562.0
158.180.65.13,443,158.180.65.13,KR,Seoul,中转,190 ms,35 Mbps,4536 kB/s,4536.0
131.186.60.210,443,2603:c021:8002:900:8479:146e:b870:4762,JP,Tokyo,隧道,221 ms,34 Mbps,4477 kB/s,4477.0
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,214 ms,33 Mbps,4330 kB/s,4330.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,209 ms,33 Mbps,4306 kB/s,4306.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,290 ms,33 Mbps,4243 kB/s,4243.0
129.151.148.35,443,2a09:bac5:14:25a::3c:19,AE,Dubai,隧道,271 ms,32 Mbps,4169 kB/s,4169.0
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,171 ms,31 Mbps,4073 kB/s,4073.0
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,287 ms,31 Mbps,3983 kB/s,3983.0
8.210.215.39,443,8.210.215.39,HK,Hong Kong,中转,230 ms,29 Mbps,3783 kB/s,3783.0
141.147.161.250,443,141.147.161.250,JP,Tokyo,中转,220 ms,29 Mbps,3748 kB/s,3748.0
8.219.68.162,443,2001:470:35:b48::2,US,Singapore,隧道,240 ms,28 Mbps,3695 kB/s,3695.0
152.70.119.237,443,2a09:bac5:6443:28::4:243,US,San Jose,隧道,69 ms,28 Mbps,3692 kB/s,3692.0
138.3.222.33,443,138.3.222.33,JP,Tokyo,中转,218 ms,28 Mbps,3595 kB/s,3595.0
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,184 ms,24 Mbps,3164 kB/s,3164.0
8.222.155.206,443,8.222.155.206,SG,Singapore,中转,240 ms,24 Mbps,3152 kB/s,3152.0
155.248.202.141,443,155.248.202.141,US,San Jose,中转,69 ms,12 Mbps,1558 kB/s,1558.0
44.230.218.23,443,52.35.136.129,US,,隧道,87 ms,10 Mbps,1354 kB/s,1354.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,87 ms,6 Mbps,849 kB/s,849.0
132.145.11.151,443,2606:f240:f00:5a42:0:ea34:76be:b4f8,US,Frankfurt,隧道,95 ms,5 Mbps,683 kB/s,683.0
152.70.48.241,443,2606:f240:f00:5a42:0:6a49:53da:3bbe,US,Frankfurt,隧道,92 ms,5 Mbps,655 kB/s,655.0
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,215 ms,4 Mbps,567 kB/s,567.0
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,215 ms,3 Mbps,464 kB/s,464.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,205 ms,3 Mbps,418 kB/s,418.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,229 ms,2 Mbps,267 kB/s,267.0
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,360 ms,1 Mbps,238 kB/s,238.0
8.218.148.106,443,8.218.148.106,HK,,中转,230 ms,0 Mbps,44 kB/s,44.0
47.254.65.110,443,47.254.65.110,US,San Jose,中转,66 ms,0 Mbps,32 kB/s,32.0
8.218.148.106,443,8.218.148.106,HK,,中转,231 ms,0 Mbps,17 kB/s,17.0
129.227.139.137,443,129.227.139.137,HK,Hong Kong,中转,397 ms,0 Mbps,14 kB/s,14.0
